place,place_short,placeLabel,location,osm,gnd,topostext,pleiades,oclc,getty,dare,arachne,archinform,mibact,iccd,iccdcf,geonames,inception,wikimedia,wikipedia
http://www.wikidata.org/entity/Q1329671,Q1329671,Pigna,Point(12.48333333 41.9),5452758,,,,,,,,,,,,6545151,1300-01-01T00:00:00Z,Rione IX - Pigna,https://it.wikipedia.org/wiki/Pigna_(rione_di_Roma)
http://www.wikidata.org/entity/Q1342766,Q1342766,chiesa delle Santissime Stimmate di San Francesco,Point(12.477777777 41.896388888),,7678417-4,,,,,,,,,,,,1721-01-01T00:00:00Z,Stimmate di San Francesco (Rome),https://it.wikipedia.org/wiki/Chiesa_delle_Santissime_Stimmate_di_San_Francesco
http://www.wikidata.org/entity/Q1347047,Q1347047,Ministero della Cultura,Point(12.480447222 41.897836111),,5541509-X,,,,,,,,,,,,1974-01-01T00:00:00Z,Ministry of Culture (Italy),https://it.wikipedia.org/wiki/Ministero_della_cultura
http://www.wikidata.org/entity/Q1362663,Q1362663,Villa Medici,Point(12.48252 41.90827),,4305695-7,,,,,,,,,,,8015094,,Villa Medici (Rome),https://it.wikipedia.org/wiki/Villa_Medici
http://www.wikidata.org/entity/Q1364594,Q1364594,Villa di Lucullo,Point(12.4834 41.9065),,,,418356677,,,,,,,,,,,,https://it.wikipedia.org/wiki/Villa_di_Lucullo
http://www.wikidata.org/entity/Q1423813,Q1423813,chiesa di Santa Maria in Trivio,Point(12.4825 41.901111111),,,,,,,,,,,,,,1675-03-25T00:00:00Z,Santa Maria in Trivio (Rome),https://it.wikipedia.org/wiki/Chiesa_di_Santa_Maria_in_Trivio
http://www.wikidata.org/entity/Q1465674,Q1465674,chiesa di Sant'Ignazio di Loyola in Campo Marzio,Point(12.480072 41.899248),,4468814-3,,,,,,,,,15417,1467362637708,8015141,1624-01-01T00:00:00Z,Sant'Ignazio (Rome),https://it.wikipedia.org/wiki/Chiesa_di_Sant%27Ignazio_di_Loyola_in_Campo_Marzio
http://www.wikidata.org/entity/Q185382,Q185382,Fontana di Trevi,Point(12.483166666 41.900875),,4217965-8,,,,,,,10072,,,,6619448,1735-01-01T00:00:00Z,Trevi fountain,https://it.wikipedia.org/wiki/Fontana_di_Trevi
http://www.wikidata.org/entity/Q190353,Q190353,Sovrano Militare Ordine Ospedaliero di San Giovanni di Gerusalemme di Rodi e di Malta,Point(12.48061 41.90541),,43583-1,,,,,,,,,,,,1961-06-27T00:00:00Z,Sovereign Military Order of Malta,https://it.wikipedia.org/wiki/Sovrano_Militare_Ordine_di_Malta
http://www.wikidata.org/entity/Q3348567,Q3348567,Obelisco del Pincio,Point(12.4797 41.9108),,,419125AOAn,,,,,,,,,,,0200-01-01T00:00:00Z,Antinous obelisk,https://it.wikipedia.org/wiki/Obelisco_del_Pincio
http://www.wikidata.org/entity/Q3348569,Q3348569,Obelisco del Pantheon,Point(12.4767315 41.8993045),,,419125AOPn,,,,,,,,,,,-1300-01-01T00:00:00Z,Macuteo obelisk (Rome),https://it.wikipedia.org/wiki/Obelisco_del_Pantheon
http://www.wikidata.org/entity/Q3360871,Q3360871,Palazzo Gabrielli-Borromeo,Point(12.47888889 41.89916667),,,,,,,,,,,,,,,Palazzo Gabrielli Borromeo (Rome),https://it.wikipedia.org/wiki/Palazzo_Gabrielli-Borromeo
http://www.wikidata.org/entity/Q3360875,Q3360875,Palazzo Grazioli,Point(12.48055556 41.89666667),,,,,,,,,,,,,,,Palazzo Grazioli (Rome),https://it.wikipedia.org/wiki/Palazzo_Grazioli
http://www.wikidata.org/entity/Q3360896,Q3360896,Palazzo Mancini,Point(12.48194444 41.8975),,,,,,,,,,,,,,,Palazzo Mancini (Rome),https://it.wikipedia.org/wiki/Palazzo_Mancini
http://www.wikidata.org/entity/Q3360903,Q3360903,Palazzo Muti,Point(12.482722222 41.898527777),,,,,,,,,,,,,,1644-01-01T00:00:00Z,Palazzo Muti,https://it.wikipedia.org/wiki/Palazzo_Muti
http://www.wikidata.org/entity/Q3457157,Q3457157,piazza della Rotonda,Point(12.47675 41.89930556),,4846556-2,,,,,,,,,,,,,Piazza della Rotonda (Rome),https://it.wikipedia.org/wiki/Piazza_della_Rotonda
http://www.wikidata.org/entity/Q3472907,Q3472907,Santissimi Nomi di Gesù e Maria in via Lata,Point(12.477609 41.908009),,,,,,,,,,,,,,,Gesù e Maria (Rome),https://it.wikipedia.org/wiki/Santissimi_Nomi_di_Ges%C3%B9_e_Maria_in_via_Lata_(diaconia)
http://www.wikidata.org/entity/Q3584709,Q3584709,chiesa di Sant'Ivo dei Bretoni,Point(12.47477778 41.90258333),,,,,,,,,,,,,,1875-01-01T00:00:00Z,Sant'Ivo dei Bretoni,https://it.wikipedia.org/wiki/Chiesa_di_Sant%27Ivo_dei_Bretoni
